,ID,전국대비인구비율,지역별도시인구비율
159,장수,0.00044805644974857145,27.27
160,임실,0.0005802486351508997,51.99
161,순창,0.0005635967805308137,35.22
162,고창,0.0011006239158566928,40.81
163,부안,0.0010504561035597942,51.41
164,목포,0.004482822049039075,100.0
165,여수,0.005466362009119775,87.4
166,순천,0.005390898042237786,90.03
167,나주,0.002196559070794868,65.57
168,광양,0.0030209512940198675,90.0
169,담양,0.0009052781728975379,62.0
170,곡성,0.0005716043351858956,36.29
171,구례,0.000523230986944232,45.63
172,고흥,0.0012691877651742726,52.47
173,보성,0.0008258972575939066,46.26
174,화순,0.0012336072090683183,62.89
175,장흥,0.000758537321929109,62.5
176,강진,0.0006974097721765801,39.75
177,해남,0.001387352258445891,34.44
178,영암,0.0010560517441621405,60.0
179,무안,0.001582041960782702,67.24
180,함평,0.0006448493411393677,26.36
181,영광,0.0010443973754593226,63.22
182,장성,0.0008836288323601839,56.0
183,완도,0.0009932647975413296,35.81
184,진도,0.0006023803584988008,39.45
185,신안,0.000796182476464205,11.0
186,포항,0.009840860174222393,92.0
187,경주,0.004956271129934846,84.34
188,김천,0.002722645763977539,72.65
189,안동,0.0031293137685811686,74.7
190,구미,0.008132858413949631,95.12
191,영주,0.0020607586619696473,79.13
192,영천,0.0019603072655013185,64.58
193,상주,0.001935261949977713,51.45
194,문경,0.0013868312850105003,73.61
195,경산,0.005037871006166994,88.59
196,군위,0.00046152457781904657,19.12
197,의성,0.0010215710208642335,50.74
198,청송,0.0004954650323691407,47.48
199,영양,0.000334889442394221,43.44
200,영덕,0.0007353057657731606,49.06
201,청도,0.0008307982669490652,37.29
202,고령,0.000636147155237098,59.0
203,성주,0.000861960196510408,31.61
204,칠곡,0.0022928233844676476,82.62
205,예천,0.0010279384739634552,51.33
206,봉화,0.0006337159458719406,31.75
207,울진,0.0009654602523413945,72.7
208,울릉,0.00018971151173196481,76.97
209,창원,0.020329560463009544,98.2
210,진주,0.006675927258910426,91.04
211,통영,0.0025801691770543462,74.0
212,사천,0.0021975045411035403,84.61
213,김해,0.010297367970811749,95.34
214,밀양,0.0020596588291616,64.39
215,거제,0.004833784486680726,77.12
216,양산,0.006727098427453263,98.82
217,의령,0.0005338434087762684,45.55
218,함안,0.001293268315076784,55.0
219,창녕,0.0012232456262977664,55.93
220,고성(경남),0.001027340319278377,51.67
221,남해,0.0008488007934386831,30.04
222,하동,0.0009171640853494185,35.45
223,산청,0.0006937050721915784,16.2
224,함양,0.0007726614906219283,47.35
225,거창,0.0012050887373087735,65.47
226,합천,0.0008859635651632319,57.72
227,제주,0.009376479890164907,92.16
228,서귀포,0.00349717889990439,86.63
