,시도,군구,커피빈_나머지데이터,ID
113,경기,성남,분당구 황새울로 214번길8 MSPlaza내1층,성남
114,경기,성남,분당구 야탑동354 분당차병원신관1층분당차1호,성남
115,경기,성남,분당구 황새울로 326 서현빌딩상가내2층,성남
116,경기,성남,분당구 분당로53번길 11 1층2,성남
117,경기,부천,원미구 길주로 180 현대백화점 B1-120,부천
118,경기,고양,일산동구 정발산로 24 웨스턴돔 A-303,고양
119,경기,고양,일산동구 정발산로 24 I동103~203호,고양
120,경기,고양,일산동구 장항동 764 라페스타C동,고양
121,인천,중구,신도시남로 142번길 6 (메가스타 영종 139,인천 중구
122,인천,중구,운서동 2868 인천공항 제2터미널 1층 연번(23-124),인천 중구
123,인천,연수,송도과학로 16번길 33-4 D동 119호,인천 연수
124,인천,연수,송도국제대로 165(송도동) 홈플러스송도점1층,인천 연수
125,인천,중구,공항로272 인천국제공항탑승동3층 FB-C5-68,인천 중구
126,인천,중구,공항로272 인천국제공항탑승동3층 FB-C5-57,인천 중구
127,인천,부평,시장로29 1,인천 부평
128,인천,남동,예술로 138 지상1,인천 남동
129,강원,원주,봉화로1 AK플라자원주점 1층,원주
130,경남,창원,의창구 원이대로 320 더시티세븐 1F Skycone 105호,창원
131,경남,진주,충의로 19 LH진주사옥 홍보관1층,진주
132,경남,창원,성산구 중앙대로 104 마이우스오피스텔 123호 207호,창원
133,경북,경주,엑스포로80(천군동)1층,경주
134,경북,포항,북구 삼호로265번길1 NB-City복합시설1층104호,포항
135,광주,서구,상무중앙로 9,광주 서구
136,대구,중구,중앙대로 412-18,대구 중구
137,대전,서구,문정로76 1층,대전 서구
138,대전,서구,둔산로26 소레빌딩,대전 서구
139,부산,중구,해관로 1 희남빌딩 1층,부산 중구
140,부산,해운대,센텀3로 20 해운대센텀호텔 1F 101호,부산 해운대
141,부산,부산진,서면로 62-1 에이스메디컬타워 1F,부산 부산진
142,부산,부산진,서전로 12,부산 부산진
143,부산,기장,정관로 563 1층,부산 기장
144,부산,수영,수영로 667 1층,부산 수영
145,부산,해운대,해운대 해변로277 다옴빌딩1층,부산 해운대
146,부산,중구,창선동 2가 8-2,부산 중구
147,울산,남구,삼산로 261 현대백화점5층,울산 남구
148,울산,남구,화합로 185 업스퀘어 1층,울산 남구
149,충남,천안,동남구 만남로 48(신부동),천안
150,세종특별자치시,세종,2511 고대세종캠퍼스호연학사4관1층,세종
151,충북,청주,흥덕구 대농로 17 지웰시티몰 1층 124-1,청주
152,충북,청주,상당구 상당로69번길20 2~4층,청주
