,시도명,시군구명,상호명,지점명,경도,위도,도로명주소,ID,빽다방 매장수,브랜드명
307,경기도,이천시,빽다방,이천로데오점,127.4440958,37.28051574,경기도 이천시 어재연로37번길 27,이천,1,빽다방
308,경기도,부천시,빽다방,부천중동현대점,126.7608481,37.50305769,경기도 부천시 석천로169번길 34,부천,1,빽다방
309,경기도,성남시,빽다방,미금역농협점,127.1117205,37.34971032,경기도 성남시,성남,1,빽다방
310,경기도,시흥시,빽다방,정왕역점,126.7418438,37.35139152,경기도 시흥시 마유로418번길 10,시흥,1,빽다방
311,경기도,화성시,빽다방,동탄북광장점,127.0726941,37.20597514,경기도 화성시 동탄중심상가2길 5,화성,1,빽다방
312,경기도,성남시,빽다방,야탑역NC점,127.1268102,37.41115914,경기도 성남시,성남,1,빽다방
313,경기도,안양시,빽다방,평촌CGV점,126.9622493,37.3929703,경기도 안양시,안양,1,빽다방
314,경기도,안양시,빽다방,안양역점,126.9230872,37.40063056,경기도 안양시,안양,1,빽다방
315,경기도,고양시,백다방,-,126.7621259,37.6705619,경기도 고양시,고양,1,빽다방
316,경기도,포천시,컴백다방,-,127.1473572,37.82785308,경기도 포천시 소흘읍 솔모루로78번길 8,포천,1,빽다방
317,경기도,평택시,빽다방,평택소사벌1호점,127.1041677,37.00460996,경기도 평택시 평남로 941,평택,1,빽다방
318,경기도,파주시,빽다방,파주금릉역점,126.7668643,37.75198114,경기도 파주시 금빛로 24,파주,1,빽다방
319,경기도,안성시,빽다방,안성중앙로점,127.2691588,37.00776813,경기도 안성시 중앙로379번길 4,안성,1,빽다방
320,강원도,원주시,빽다방,원주장미공원점,127.9318006,37.34733957,강원도 원주시 장미공원길 32,원주,1,빽다방
321,경기도,안양시,빽다방,범계역점,126.9532886,37.39089996,경기도 안양시,안양,1,빽다방
322,경기도,남양주시,빽다방,평내호평역점,127.2440651,37.65565052,경기도 남양주시 늘을2로 32,남양주,1,빽다방
323,경기도,오산시,빽다방,오산역점,127.0699689,37.14617439,경기도 오산시 대원로 14,오산,1,빽다방
324,충청북도,청주시,빽다방,청주중앙공원점,127.4898728,36.63343518,충청북도 청주시,청주,1,빽다방
325,경기도,의정부시,빽다방,-,127.0484735,37.74012987,경기도 의정부시 호국로1298번길 75,의정부,1,빽다방
326,경기도,안산시,빽다방,안산고잔뉴코아점,126.8342328,37.31894469,경기도 안산시,안산,1,빽다방
327,경기도,부천시,빽다방,송내법조타운점,126.755291,37.49034875,경기도 부천시 부일로221번길 46,부천,1,빽다방
328,경기도,부천시,빽다방,상동세이브존점,126.75412,37.5063838,경기도 부천시 길주로 105,부천,1,빽다방
329,경기도,안양시,빽다방,범계역사거리점,126.9500103,37.39113221,경기도 안양시,안양,1,빽다방
330,경기도,부천시,빽다방,송내역로데오점,126.7524596,37.491301,경기도 부천시 상일로 92,부천,1,빽다방
331,경기도,하남시,빽다방,하남신장시장점,127.2047895,37.53806638,경기도 하남시 신장로 122,하남,1,빽다방
332,경기도,성남시,빽다방,분당서현대명점,127.1249842,37.38652823,경기도 성남시,성남,1,빽다방
333,경기도,용인시,빽다방,강남대점,127.1261314,37.27099031,경기도 용인시,용인,1,빽다방
334,강원도,춘천시,빽다방,춘천석사CGV점,127.7448316,37.8511253,강원도 춘천시 지석로 85,춘천,1,빽다방
335,경기도,김포시,빽다방,김포사우점,126.7177307,37.61954999,경기도 김포시 돌문로 50,김포,1,빽다방
